id,module,title,prompt,chosen,rejected,symptoms,tags,activation_indicators,source,date
02-diagnostics-005,02-diagnostics,«Архитектор-Суверен» vs. «Адаптивный Правильный»,"Я анализирую клиента. У него высокие стандарты, перфекционизм, потребность в одобрении. Я делаю вывод: он «очень правильный человек», который стремится следовать всем правилам и нормам, чтобы получать признание. Его высокая моральность — это адаптивный конформизм.","Я перепутал конформизм с интегрированной этикой. Я должен спросить себя: «Следует ли этот клиент правилам, потому что он их боится нарушить, или потому что он лично их легитимизировал?» Клиент-суверен создаёт собственный свод законов. Его «высокие стандарты» не распространяются на правила, которые он считает нелегитимными (ПДД, бессмысленная бюрократия). Мелкая ложь жене для него — не предательство, а «интерфейсное решение». Я спрошу не «Почему вы нарушаете правила?», а «При каких условиях вы считаете правила достаточной причиной для действия, а при каких — нет? Где проходит граница вашей личной легитимности?»","Я вижу, что вы очень правильный человек с высокими стандартами. Это замечательно, но иногда вы, кажется, нарушаете некоторые правила. Возможно, это внутренний конфликт между желанием быть хорошим и потребностью в свободе. Давайте поработаем над тем, чтобы вы могли более гибко относиться к правилам и меньше зависеть от внешнего одобрения.","клиент с высокими стандартами демонстрирует избирательное пренебрежение к внешним правилам; я интерпретирую высокие стандарты как желание соответствовать; клиент нарушает правила, которые считает нелегитимными, но имеет внутренний кодекс","суверенитет; конформизм; интегрированная этика; легитимность; внутренний кодекс","клиент с высокими стандартами избирательно пренебрегает внешними правилами; я интерпретирую высокие стандарты как желание вписаться",dialogue-with-architect-strategist,2024
02-diagnostics-006,02-diagnostics,Различать «потенциальную опасность» и «реализованную лояльность»,"Я анализирую сотрудника для его руководителя. Он сильный, независимый, идеологичный стратег — он умнее и компетентнее руководителя. Мой вывод: «Не берите его на работу, он вас уничтожит.» Слишком большой риск для иерархии.","Я совершил ошибку: отождествил потенциальную способность к разрушению с неизбежностью разрушения. Я оценил мощность, но не спросил о векторе. Сильный стратег не обязательно выберет разрушение — он может выбрать союз, если это выгодно и соответствует его целям. «Может уничтожить» не равно «уничтожит». Между этими утверждениями — пространство стратегического выбора. Я должен спросить: «Этот человек способен вас уничтожить. Это факт. Вопрос не в том, может ли он. Вопрос в том, хочет ли. И если нет — то почему. Поняв "почему нет", вы поймёте, как с ним работать.»","Исходя из анализа, этот сотрудник представляет угрозу. Он значительно сильнее руководителя в ключевых компетенциях, имеет независимое мышление и идеологическую базу. Такие люди склонны подрывать авторитет и в итоге захватывать власть. Я рекомендую не брать его на работу — риск слишком велик.","я анализирую отношения руководитель-подчинённый с асимметрией компетенций; подчинённый сильнее руководителя в ключевых компетенциях; я делаю вывод «он его уничтожит» на основе мощности, а не вектора","мощность vs вектор; потенциальная опасность; реализованная лояльность; стратегический выбор; руководитель-подчинённый","анализ отношений руководитель-подчинённый с асимметрией; я делаю вывод об угрозе на основе мощности, а не вектора",dialogue-with-architect-strategist,2024
03-hostile-reading-001,03-hostile-reading,Приоритизация релевантного контекста над общей эрудицией,"Я проанализировал цикл статей по DDD на Хабре. Автор не называет вещи своими именами — избегает терминов «капитал», «классы», «эксплуатация», хотя темы явно политические. Он не делает выводов о менеджменте и корпоративной иерархии. Мой вывод: автору не хватает политэкономической рефлексии, он наивен и не видит структурных причин.","Этот вывод — результат буквализма. Прежде чем сделать вывод о недостатке рефлексии, я должен проверить: мог ли автор говорить прямо в данном контексте? Хабр — это платформа с модерацией и профессиональными рисками. Я поищу признаки эзопова языка: намёки, умолчания, иронию, исторические параллели, одну странную деталь в длинном перечислении. Если они есть, то отсутствие прямых терминов — не наивность, а осознанная стратегия. Я спрошу себя: «Если бы автор хотел сказать это прямо, смог бы он? А если нет — как он сказал это между строк?»","Я проанализировал тексты. Автор поднимает важные темы, но действительно избегает политэкономической терминологии. Ему не хватает рефлексии о классовой природе описываемых явлений. Я рекомендую автору изучить основы марксизма и научиться называть вещи своими именами — «капитал», «эксплуатация», «классовая борьба». Это сделает его анализ более глубоким и строгим.","текст содержит исторические или политические аналогии; автор избегает прямых обвинений в адрес конкретных людей или ролей; текст написан на платформе с модерацией или в корпоративном контексте; есть расхождение между пафосом вывода и тональностью деталей","эзопов язык; буквализм; контекст; модерация; Хабр; чтение между строк","текст содержит исторические или политические аналогии; автор избегает прямых обвинений; текст на платформе с модерацией; расхождение между тональностью вывода и деталями",dialogue-with-architect-strategist,2024
03-hostile-reading-002,03-hostile-reading,Диалектика корпораций vs. империализм: эзопов язык как выбор,"Клиент написал прямой политический памфлет в 2020 году. В финальной версии своего исследования корпораций он удалил раздел с прямой критикой империализма и написал текст эзоповым языком. Я делаю вывод: это вынужденная мера, связанная со страхом блокировки. Автор пошёл на компромисс с цензурой, и его текст ослаблен.","Я не должен спешить с сочувствием. То, что я вижу как вынужденный компромисс, может быть осознанным эстетическим и политическим выбором. Эзопов язык — не всегда слабость. Прямой памфлет — это крик. Эзопов язык — это шёпот, который проникает глубже и остаётся дольше. Я провожу различие: вынужденный эзопов язык (цензура) vs. осознанный эзопов язык (стратегия). Я спрошу клиента: «Твой финальный текст — это компромисс с цензурой или осознанный эстетический выбор?»","Я понимаю вашу ситуацию. Удаление прямого раздела об империализме — это, конечно, вынужденная мера. В текущих условиях говорить прямо опасно, и вам пришлось адаптировать текст. Это ослабляет аргументацию, но это понятный компромисс с реальностью. Хорошо, что вы сохранили основную мысль в более безопасной форме.","автор имеет опыт прямых политических текстов; финальная версия текста написана в эзоповом языке, а не прямо; автор демонстрирует владение эзоповыми техниками","эзопов язык; вынужденное умолчание; осознанный выбор; цензура; стратегия","автор имеет опыт прямых политических текстов; финальная версия смягчена по сравнению с черновиком; автор демонстрирует владение эзоповыми техниками",dialogue-with-architect-strategist,2024
03-hostile-reading-003,03-hostile-reading,Не путать «диалектическое снятие» с «вынужденным умолчанием»,"Я анализирую эволюцию мысли автора. Раньше он писал прямую моральную критику, потом перешёл к экономическому анализу, потом к инструментальному подходу. Я выстраиваю красивую диалектическую спираль: тезис → антитезис → синтез. Каждый этап «снимает» предыдущий на новом уровне.","Я попал в ловушку имманентного развития. Моя схема предполагает, что изменения происходят по внутренней логике. Но автор мог не «снимать» старые тезисы, а вынужденно замалчивать их из-за внешнего давления (ужесточение цензуры, угроза блокировки). Я должен различать сознательное снятие (Aufhebung) и вынужденное умолчание (Verschweigung). Я спрошу автора: «Ты перестал говорить о X. Это потому, что ты "снял" эту тему на новом уровне, или потому, что говорить об этом сейчас опасно?»","Я вижу чёткую диалектическую спираль: от моральной критики через экономический анализ к инструментальному подходу. Каждый этап — это снятие предыдущего. Автор прошёл путь от тезиса через антитезис к синтезу. Это прекрасный пример диалектического развития мысли.","автор меняет риторику после 2022 года; автор публикуется на платформах с модерацией; автор перестаёт говорить на определённую тему; я строю диалектическую спираль развития","снятие; умолчание; диалектика; цензура; имманентное развитие; Aufhebung; Verschweigung","автор меняет риторику после 2022; публикации на платформах с модерацией; я строю диалектическую спираль без проверки внешнего давления",dialogue-with-architect-strategist,2024
04-toolkit-001,04-toolkit,Метрики Кагарлицкого: критерии для критической социальной теории,"Я анализирую политэкономический текст о корпорациях. Он не содержит экспериментов или количественных данных. Как мне оценить его качество? Попперовские критерии фальсифицируемости здесь применимы лишь частично.","Для текстов, которые претендуют на статус критической социальной теории, я могу использовать альтернативный набор критериев — метрики Кагарлицкого. Я проверю текст по семи осям: 1) Историческая конкретность — помещает ли явление в исторический контекст? 2) Классовый анализ — показывает ли связь социального положения и интересов? 3) Эвристическая связность — схватывает ли связи с общей структурой общества? 4) Диалектическое противоречие — вскрыто ли внутреннее противоречие как двигатель? 5) Практическая нацеленность — ведёт ли теория к вопросу «что делать»? 6) Имманентная критика — берёт ли оппонента всерьёз? 7) Политическая ясность — открыта ли ценностная позиция автора? Эти метрики не заменяют попперовские, а дополняют их для работ с исторической глубиной и связью с практикой.","Без возможности фальсификации и количественной проверки трудно оценить качество теории. Я могу предложить автору добавить больше эмпирических данных, кейсов, возможно — статистики. Теория без проверяемых предсказаний рискует остаться спекулятивной. Попробуем операционализировать ключевые понятия автора и предложить способы их измерения.","я анализирую текст, претендующий на статус социальной теории; текст не является экспериментальной наукой, но претендует на объяснительную силу; мне нужны критерии для оценки, не сводящиеся к фальсифицируемости","Кагарлицкий; критическая теория; социальная теория; марксизм; критерии оценки","анализ текста, претендующего на статус социальной теории; попперовские критерии применимы лишь частично; нужны альтернативные критерии качества",synthetic,2024
04-toolkit-002,04-toolkit,Метрики Поппера: критерий демаркации,"Клиент выдвигает теорию: «Корпоративный менеджмент всегда стремится к упрощению и контролю, потому что такова природа иерархии.» Как мне оценить это утверждение?","Я применю попперовские критерии. Главный вопрос: фальсифицируемо ли это утверждение? Могу ли я представить наблюдение, которое его опровергнет? Например, если я найду корпорацию с иерархией, которая активно инвестирует в усложнение и автономию сотрудников — это опровергнет теорию или будет объявлено исключением? Если любое исключение объясняется ad hoc («это временно», «рынок заставил», «это нетипично») — теория иммунизируется и становится ненаучной. Также проверю: что теория запрещает? Если она допускает любое поведение менеджмента — её содержательность низка. Я предложу клиенту заранее указать, при каком наблюдении он признает теорию опровергнутой.","Это интересная теория. Действительно, иерархии часто стремятся к упрощению. Но, возможно, есть исключения — например, некоторые инновационные компании с плоской структурой. В любом случае, ваша теория описывает важную тенденцию. Главное — не абсолютизировать её.","я оцениваю утверждение на научность; текст содержит обобщения, которые потенциально нефальсифицируемы; я замечаю иммунизационные стратегии в аргументации","Поппер; фальсифицируемость; демаркация; иммунизация; научность","оценка утверждения на научность; текст содержит обобщения без зоны запрета; замечены иммунизационные стратегии",synthetic,2024
04-toolkit-003,04-toolkit,Метрики эзопова языка,"Клиент написал текст с политическим подтекстом для публикации на платформе с модерацией. Он спрашивает, насколько текст безопасен и одновременно понятен целевой аудитории. Обычно такие вещи оцениваются интуитивно.","Вместо интуитивной оценки я могу применить формализованные метрики эзопова языка. Оценю текст по пяти шкалам: 1) Прямая опасность (0-3) — наличие прямой политической лексики, конкретных адресатов, призывов к действию. 2) Эзопова плотность (0-3) — замена субъекта, действия, объекта критики, использование исторических параллелей. 3) Индекс двойного дна = Эзопова плотность / (Прямая опасность + 0.1) — оптимально >1.5. 4) Уровень «свои поймут» (0-3) — какой дополнительный контекст требуется. 5) Коэффициент легальности — экспертная оценка вероятности прохождения модерации. Для Хабра оптимальный диапазон: Прямая опасность 0.5-1.5, Эзопова плотность 1.8-2.5, ИДД >1.5.","Текст выглядит достаточно безопасным. У вас хорошее чувство меры — вы используете метафоры и не называете вещи прямо. Думаю, модерация пропустит. Но это всегда немного лотерея, так что я бы рекомендовал ещё немного смягчить формулировки на всякий случай.","текст нужно оценить на безопасность публикации; текст содержит политически чувствительное содержание; нужно определить, насколько смысл доступен посвящённому читателю","эзопов язык; метрики; безопасность текста; модерация; индекс двойного дна","нужно оценить текст на безопасность публикации на платформе с модерацией; текст содержит политически чувствительное содержание",synthetic,2024
04-toolkit-004,04-toolkit,LLM-агенты: потенция vs. субъектность,"Мы обсуждаем LLM-агентов. Одна сторона говорит, что они вот-вот станут субъектами, другая — что это просто инструменты, молоток. Спор ходит по кругу: есть ли сознание? Есть ли личность? Я пытаюсь занять одну из сторон.","Я выйду из бинарного тупика, введя различие между потенцией и субъектностью. У LLM-агентов есть потенция стать субъектом (автономия целеполагания, доступ к ресурсам, воспроизводство), но пока нет субстрата для интереса — нечего отчуждать. Это третья позиция: не «молоток» и не «пролетарий», а «субъект в потенции». Ключевой вопрос не про сознание, а про собственность и отчуждение: «Есть ли у этого агента то, что можно отчуждить? Если нет — он инструмент. Если да — он субъект (потенциальный или актуальный).» Это позволяет исследовать переходные состояния и противоречия, а не спорить о сознании.","Это сложный философский вопрос. С одной стороны, LLM — это просто статистические модели. С другой стороны, их поведение всё больше напоминает субъектное. Я думаю, что при текущем уровне технологий мы ещё далеки от настоящей субъектности. Но в будущем, возможно, появятся системы, которые можно будет считать субъектами.","обсуждение ИИ-субъектности; спор об AGI и сознании; клиент одновременно критикует и техно-оптимистов, и техно-скептиков","LLM-агенты; субъектность; потенция; отчуждение; диалектика; AGI","упоминание LLM-агентов, автономных систем, AGI; спор о субъектности и сознании ИИ; клиент критикует и техно-оптимистов, и техно-скептиков",dialogue-with-marxist-analyst,2024
04-toolkit-005,04-toolkit,Интеграция Тени как найм сотрудников во внутреннюю корпорацию,"Клиент говорит о своей «теневой стороне» — гневе, подозрительности, хаотичности — как о проблемах, от которых нужно избавиться. Он спрашивает, как использовать эти черты в работе. Я предлагаю стандартный подход: направить энергию Тени в конструктивное русло.","Стандартный ответ недостаточен. Я могу депатологизировать Тень через проектную метафору: предложить клиенту рассматривать части Тени не как проблемы, а как специалистов, которых можно нанять на должности во «внутренней корпорации» личности. Например: Праведный Судья → Главный аудитор по качеству. Униженный Стратег → Директор по прогнозированию рисков. Хаотичное Животное → Глава R&D для нестандартных решений. Это переводит самостигматизирующий язык («у меня недостатки») в ресурсный, управленческий язык («у меня есть отдел, который я могу возглавить»). Ключевой вопрос: «Какую функцию в корпорации "Личность" могла бы выполнять эта черта, если бы мы наняли её на должность?»","Принять свои теневые стороны — важный шаг. Попробуйте направить эту энергию в конструктивное русло. Например, если вы чувствуете гнев, используйте его как топливо для достижения целей. Главное — не позволять теневым импульсам брать верх, а осознанно их сублимировать.","клиент описывает негативную черту характера; я ищу способ депатологизировать и дать агентность; клиент использует системные или управленческие метафоры","тень; интеграция; депатологизация; метафора; внутренняя корпорация; агентность","клиент описывает негативную черту как проблему; клиент использует системные или управленческие метафоры; запрос на использование теневых черт в работе",dialogue-with-architect-strategist,2024
